select,url,cat1,cat2,cat3,cat4,cat5,cat6,cat7,cat8,cat9,cat10
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Navigation/zgbs/mobile-apps/9408794011,Apps & Games,Local,Navigation,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Offline-Maps/zgbs/mobile-apps/9408795011,Apps & Games,Local,Offline Maps,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Real-Estate/zgbs/mobile-apps/9408733011,Apps & Games,Local,Real Estate,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Taxi-Ridesharing/zgbs/mobile-apps/9408788011,Apps & Games,Local,Taxi & Ridesharing,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Magazines/zgbs/mobile-apps/9408805011,Apps & Games,Magazines,,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Medical/zgbs/mobile-apps/10298306011,Apps & Games,Medical,,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Medical-Education/zgbs/mobile-apps/9408755011,Apps & Games,Medical,Education,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Medical-Reference/zgbs/mobile-apps/9408756011,Apps & Games,Medical,Reference,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Movies-TV/zgbs/mobile-apps/9408765011,Apps & Games,Movies & TV,,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Movie-Info-Reviews/zgbs/mobile-apps/9408769011,Apps & Games,Movies & TV,Movie Info & Reviews,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Demand-Movie-Streaming/zgbs/mobile-apps/9408766011,Apps & Games,Movies & TV,On-Demand Movie Streaming,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Video-Sharing/zgbs/mobile-apps/10298307011,Apps & Games,Movies & TV,Video-Sharing,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Music-Audio/zgbs/mobile-apps/9408771011,Apps & Games,Music & Audio,,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Audio-Recording/zgbs/mobile-apps/9408916011,Apps & Games,Music & Audio,Audio Recording,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Instruments-Music-Makers/zgbs/mobile-apps/9408775011,Apps & Games,Music & Audio,Instruments & Music Makers,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Music-Info-Reviews/zgbs/mobile-apps/9408474011,Apps & Games,Music & Audio,Music Info & Reviews,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Music-Players/zgbs/mobile-apps/9408777011,Apps & Games,Music & Audio,Music Players,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Demand-Music-Streaming/zgbs/mobile-apps/9408776011,Apps & Games,Music & Audio,On-Demand Music Streaming,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Podcasts/zgbs/mobile-apps/9408781011,Apps & Games,Music & Audio,Podcasts,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Radio-Apps/zgbs/mobile-apps/9408782011,Apps & Games,Music & Audio,Radio,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Songbooks-Sheet-Music/zgbs/mobile-apps/9408783011,Apps & Games,Music & Audio,Songbooks & Sheet Music,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-News/zgbs/mobile-apps/9408802011,Apps & Games,News,,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Feed-Aggregators/zgbs/mobile-apps/9408804011,Apps & Games,News,Feed Aggregators,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Newspapers/zgbs/mobile-apps/9408847011,Apps & Games,News,Newspapers,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Sports-Fan-News/zgbs/mobile-apps/9408895011,Apps & Games,News,Sports Fan News,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Baseball-News/zgbs/mobile-apps/9408897011,Apps & Games,News,Sports Fan News,Baseball,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Football-News/zgbs/mobile-apps/9408901011,Apps & Games,News,Sports Fan News,Football,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Novelty/zgbs/mobile-apps/9408852011,Apps & Games,Novelty,,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Funny-Pictures/zgbs/mobile-apps/9408859011,Apps & Games,Novelty,Funny Pictures,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Funny-Sounds/zgbs/mobile-apps/9408860011,Apps & Games,Novelty,Funny Sounds,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Prank-Biometric-Scanners/zgbs/mobile-apps/9408865011,Apps & Games,Novelty,Prank Biometric Scanners,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Screen-Pranks/zgbs/mobile-apps/9408866011,Apps & Games,Novelty,Screen Pranks,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Talking-Answering/zgbs/mobile-apps/9408869011,Apps & Games,Novelty,Talking & Answering,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Photo-Video/zgbs/mobile-apps/9408874011,Apps & Games,Photo & Video,,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Productivity/zgbs/mobile-apps/9408449011,Apps & Games,Productivity,,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Alarms-Clocks/zgbs/mobile-apps/9408915011,Apps & Games,Productivity,Alarms & Clocks,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Calculators/zgbs/mobile-apps/9408919011,Apps & Games,Productivity,Calculators,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Calendars/zgbs/mobile-apps/9408920011,Apps & Games,Productivity,Calendars,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Cloud-Storage/zgbs/mobile-apps/9408921011,Apps & Games,Productivity,Cloud Storage,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Contact-Management/zgbs/mobile-apps/9408922011,Apps & Games,Productivity,Contact Management,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-File-Management/zgbs/mobile-apps/9408925011,Apps & Games,Productivity,File Management,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Keyboards/zgbs/mobile-apps/9408928011,Apps & Games,Productivity,Keyboards,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Notes-Bookmarking/zgbs/mobile-apps/9408458011,Apps & Games,Productivity,Notes & Bookmarking,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Remote-PC-Access/zgbs/mobile-apps/9408931011,Apps & Games,Productivity,Remote PC Access,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Security/zgbs/mobile-apps/9408933011,Apps & Games,Productivity,Security,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Translators/zgbs/mobile-apps/9408938011,Apps & Games,Productivity,Translators,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Web-Browsers/zgbs/mobile-apps/9408941011,Apps & Games,Productivity,Web Browsers,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Reference/zgbs/mobile-apps/9408491011,Apps & Games,Reference,,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Dictionaries/zgbs/mobile-apps/9408493011,Apps & Games,Reference,Dictionaries,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Encyclopedias/zgbs/mobile-apps/9408494011,Apps & Games,Reference,Encyclopedias,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Guides-How-Tos/zgbs/mobile-apps/9408498011,Apps & Games,Reference,Guides & How-Tos,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-History/zgbs/mobile-apps/9408499011,Apps & Games,Reference,History,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Language-Grammar/zgbs/mobile-apps/9408500011,Apps & Games,Reference,Language & Grammar,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Math/zgbs/mobile-apps/9408501011,Apps & Games,Reference,Math,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Religion/zgbs/mobile-apps/9408504011,Apps & Games,Reference,Religion,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Science/zgbs/mobile-apps/9408505011,Apps & Games,Reference,Science,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Test-Preparation/zgbs/mobile-apps/9408506011,Apps & Games,Reference,Test Preparation,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Shopping/zgbs/mobile-apps/9408875011,Apps & Games,Shopping,,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Social/zgbs/mobile-apps/9408464011,Apps & Games,Social,,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Blogging/zgbs/mobile-apps/9408465011,Apps & Games,Social,Blogging,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Dating/zgbs/mobile-apps/9408467011,Apps & Games,Social,Dating,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-General-Social-Networking/zgbs/mobile-apps/9408469011,Apps & Games,Social,General Social Networking,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Photo-Sharing/zgbs/mobile-apps/9408475011,Apps & Games,Social,Photo-Sharing,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Social-Network-Management/zgbs/mobile-apps/9408478011,Apps & Games,Social,Social Network Management,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Sports/zgbs/mobile-apps/9408876011,Apps & Games,Sports,,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Sports-Information/zgbs/mobile-apps/9408892011,Apps & Games,Sports,Sports Information,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Transportation/zgbs/mobile-apps/10298308011,Apps & Games,Transportation,,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Auto-Rental/zgbs/mobile-apps/9408786011,Apps & Games,Transportation,Auto Rental,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Flight-Finders/zgbs/mobile-apps/9408791011,Apps & Games,Transportation,Flight Finders,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Travel/zgbs/mobile-apps/9408785011,Apps & Games,Travel,,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Compasses/zgbs/mobile-apps/9408789011,Apps & Games,Travel,Compasses,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Hotel-Finders/zgbs/mobile-apps/9408792011,Apps & Games,Travel,Hotel Finders,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Travel-Guides/zgbs/mobile-apps/9408798011,Apps & Games,Travel,Travel Guides,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Trip-Planners/zgbs/mobile-apps/9408800011,Apps & Games,Travel,Trip Planners,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Unit-Converters/zgbs/mobile-apps/9408793011,Apps & Games,Travel,Unit Converters,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Utilities/zgbs/mobile-apps/9408914011,Apps & Games,Utilities,,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-All-One-Tools/zgbs/mobile-apps/9408940011,Apps & Games,Utilities,All-in-One Tools,,,,,,,
